twitter,domain,name,type
NBA,NBA.com,NBA,sports
realmadrid,realmadrid.com,Real Madrid C. F.,sports
FCBarcelona,fcbarcelona.com,FC Barcelona,sports
NFL,nfl.com,NFL,sports
ChampionsLeague,uefa.to,Champions League,sports
premierleague,premierleague.com,Premier League,sports
FCBarcelona_es,fcbarcelona.es,FC Barcelona,sports
FIFAcom,fifa.com,FIFA.com,sports
Arsenal,arsenal.com,Arsenal FC,sports
ManUtd,manutd.com,Manchester United,sports
NBA,NBA.com,NBA,sports
realmadrid,realmadrid.com,Real Madrid C. F.,sports
FCBarcelona,fcbarcelona.com,FC Barcelona,sports
NFL,nfl.com,NFL,sports
ChampionsLeague,uefa.to,Champions League,sports
premierleague,premierleague.com,Premier League,sports
FCBarcelona_es,fcbarcelona.es,FC Barcelona,sports
FIFAcom,fifa.com,FIFA.com,sports
Arsenal,arsenal.com,Arsenal FC,sports
ManUtd,manutd.com,Manchester United,sports
ChelseaFC,chelseafc.com,Chelsea FC,sports
GalatasaraySK,galatasaray.org,Galatasaray SK,sports
realmadriden,realmadrid.com,Real Madrid C.F.,sports
WWE,wwe.com,WWE,sports
MLB,MLB.com,MLB,sports
FCBarcelona_cat,fcbarcelona.cat,FC Barcelona,sports
LFC,liverpoolfc.com,Liverpool FC,sports
Fenerbahce,fenerbahce.org,Fenerbahçe SK,sports
Lakers,lakers.com,Los Angeles Lakers,sports
NHL,NHL.com,NHL,sports
miseleccionmx,miseleccion.mx,Selección Nacional,sports
IPL,iplt20.com,IndianPremierLeague,sports
fifacom_es,fifa.com,FIFA.com en español,sports
FIFAWorldCup,fifa.com,FIFAWorldCup,sports
Corinthians,corinthians.com.br,Corinthians,sports
ICC,icc-cricket.com,ICC,sports
MiamiHEAT,HEAT.com,Miami HEAT,sports
Olympics,olympic.org,Olympics,sports
CBF_Futebol,cbf.com.br,CBF Futebol,sports
Flamengo,flamengo.com.br,Flamengo,sports
FCFSeleccionCol,fcf.com.co,Selección Colombia,sports
acmilan,acmilan.com,AC Milan,sports
MCFC,mcfc.co.uk,Manchester City FC,sports
EuropaLeague,uefa.to,UEFA Europa League,sports
ufc,ufc.com,UFC,sports
