twitter,domain,name,type
Nissan,Nissan.com,Nissan,brand
pertasperlite,perlit.biz.tr,Perlite Ore,brand
panachemodels,panachemanagement.com,Panache Management,brand
TransMilenio,transmilenio.gov.co,TRANSMILENIO,brand
hermaspuspito,strategijualan.com,Hermas | TipsBisnis,brand
Jeep,jeep.com,Jeep,brand
CocaCola_Br,cocacola.com.br,Coca-Cola Brasil,brand
Konami,konami.com,Konami,brand
SamsungMexico,samsung.com,Samsung México,brand
BWWings,buffalowildwings.com,Buffalo Wild Wings,brand
WWENetwork,WWENetwork.com,WWE Network,brand
givenchy,givenchy.com,GIVENCHY,brand
KontrolFreek,kontrolfreek.com,KontrolFreek®,brand
Abercrombie,abercrombie.com,Abercrombie & Fitch,brand
SAIBLIVE,saib.com.sa,SaudiInvestmentBank,brand
AyudaBlackBerry,bbry.lv,AyudaBlackBerry,brand
UrbanDecay,urbandecay.com,Urban Decay ,brand
Coach,coach.com,"Coach, Inc.",brand
Jaguar,bit.ly,Jaguar,brand
qatarairways,bit.ly,Qatar Airways,brand
VivaAerobus,VivaAerobus.com,VivaAerobus,brand
Gap,gap.com,Gap,brand
telltalegames,telltalegames.com,Telltale Games,brand
talk2GLOBE,globe.com.ph,talk2GLOBE,brand
beatport,,Beatport,brand
StarbucksUK,starbucks.co.uk,Starbucks UK,brand
NikeStoreEurope,insider.nike.com,Nike.com,brand
Saudi_Airlines,saudiairlines.com,SAUDIA | السعودية,brand
Aircel,aircel.com,Aircel,brand
Nordstrom,nordstrom.com,Nordstrom,brand
Citi,citigroup.com,Citi,brand
4JStudios,4jstudios.com,4J Spookios,brand
Avianca,bit.ly,Avianca,brand
Mobily1100,bit.ly,رعاية العملاء,brand
Saraiva,saraiva.com.br,Saraiva,brand
elgatogaming,elgato.com,Elgato Gaming,brand
ChickfilA,chick-fil-a.com,"Chick-fil-A, Inc.",brand
KilooGames,kiloo.com,Kiloo Games,brand
Prada,prada.com,PRADA,brand
WynnLasVegas,wyn.lv,Wynn Las Vegas,brand
metro_caracas,metrodecaracas.gob.ve,Metro de Caracas ,brand
FSNML,,Fashion Models,brand
NissanUSA,NissanUSA.com,Nissan,brand
GoogleforWork,google.com,Google for Work,brand
Lightroom,adobe.com,Adobe Lightroom,brand
nikecorre,nikecorre.com,Nike Corre,brand
BentleyMotors,bentleymotors.com,Bentley Motors,brand
themotleyfool,fool.com,The Motley Fool,brand
LumiaIndonesia,,Lumia Indonesia,brand
dwell,dwell.com,dwell,brand
MovistarVe,movistar.com.ve,Movistar Venezuela,brand
Vivoemrede,vivo.com.br,Vivo,brand
Turkcell,turkcell.com.tr,TURKCELL,brand
Travelzoo,travelzoo.com,Travelzoo,brand
adidasUS,adidas.com,adidas,brand
HubSpot,hubspot.com,HubSpot,brand
nikegolf,nike.com,Nike Golf,brand
itau,,Itaú,brand
AlAhliNCB,alahli.com,البنك الأهلي التجاري,brand
bioware,bioware.com,BioWare,brand
CocaColaMx,coca-colamexico.com.mx,Coca-Cola México,brand
Banesco,banesco.com,Banesco Banco Univ.,brand
emirates,emirates.com,Emirates Airline,brand
Maserati_HQ,maserati.com,Maserati,brand
BlizzardCS,blizzard.com,BlizzardCS,brand
VodafoneTR,,Vodafone TR,brand
BenefitBeauty,benefitcosmetics.com,Benefit Cosmetics US,brand
USAirways,,US Airways,brand
ftfinancenews,ft.com,Finance News,brand
airfarewatchdog,airfarewatchdog.com,airfarewatchdog,brand
americanapparel,americanapparel.net,American Apparel,brand
EmpresasPolar,empresaspolar.com,Empresas Polar,brand
nationalrailenq,nationalrail.co.uk,National Rail,brand
COVERGIRL,covergirl.com,COVERGIRL,brand
HUGOBOSS,hugoboss.com,HUGO BOSS,brand
tictacglobal,tictac.com,Tic Tac,brand
LAN_CO,LAN.com,LAN en Colombia ,brand
DITAeyewear,dita.com,Dita Eyewear,brand
TMobile,t-mobile.com,T-Mobile,brand
Anthropologie,anthropologie.com,Anthropologie,brand
ClaroArgentina,claro.com.ar,Claro Argentina,brand
sybogames,sybogames.com,SYBO,brand
interjet,interjet.com,Interjet,brand
WestJet,westjet.com,WestJet,brand
dkny,dkny.com,DKNY,brand
UnderArmour,underarmour.com,Under Armour,brand
paddypower,pdy.pr,Paddy Power,brand
Dodge,dodge.com,Dodge ,brand
Bodybuildingcom,bbcom.me,Bodybuilding.com,brand
NetSuite,netsuite.com,NetSuite ,brand
BCBGMAXAZRIA,bcbg.com,BCBGMAXAZRIA,brand
postingiklan,instagram.com,Posting Iklan ❗️,brand
Steam_Support,support.steampowered.com,Steam Support,brand
MascaraDeLatex,mascaradelatex.com,Bruno Darks,brand
AirFranceFR,airfrance.fr,Air France FR,brand
eBay,ebay.com,eBay,brand
liverealchange,realchangeproductions.com,REALChangeProduction,brand
NewCarMark,NewCarMark.com,New Car Mark™,brand
Smush_Cocktails,Www.SmushCocktails.com,Smush Cocktail 34cal,brand
Toyota,toyota.com,Toyota USA,brand
Dell,Dell.com,Dell,brand
GI_Mobile,game-insight.com,Game Insight Mobile,brand
eXtraStores,extra.com,eXtra Stores,brand
Nintendo,nintendo.co.jp,任天堂株式会社,brand
pumafootball,puma.com,PUMA Football,brand
YESBANK,yesbank.in,YES BANK,brand
SafaricomLtd,safaricom.co.ke,Safaricom Limited,brand
Doritos,doritos.com,Doritos,brand
Game_Insight,game-insight.com,Game Insight,brand
enjoyGLOBE,globe.com.ph,Globe Telecom,brand
Bulgariofficial,bulgari.com,Bulgari,brand
SonyIndonesia,sony.co.id,Sony Indonesia,brand
Intelinvolved,intel.com,IntelInvolved,brand
fodorstravel,fodors.com,"Fodor's Travel",brand
Samsungtweets,samsung.com,Samsung USA,brand
MBUSA,mbusa.com,Mercedes-Benz USA,brand
FinishLine,finishline.com,Finish Line,brand
ClaroPeru,claro.com.pe,Claro Perú,brand
frogdesign,frogdesign.com,frog design,brand
AlexanderWangNY,bit.ly,"Alexander Wang, Inc.",brand
opera,opera.com,Opera,brand
Office365,office365.com,Office 365,brand
Motorola_BR,motorola.com.br,Motorola Brasil,brand
lootcrate,lootcrate.com,Loot Crate,brand
Florez_vanessa,aestheticeverything.com,Aesthetic Everything,brand
amazondeals,amazon.com,Amazon.com Deals,brand
Cisco,thenetwork.cisco.com,Cisco,brand
LaRedouteFr,laredoute.fr,La Redoute ,brand
chouyudream,chouyu.com.tw,Chou&Yu®,brand
MSCloud,microsoft.com,Microsoft Cloud,brand
Kirin_Brewery,kirin.co.jp,キリンビール / KIRIN BEER,brand
PlayStation_jp,jp.playstation.com,プレイステーション公式,brand
Gilt,gilt.com,Gilt.com,brand
UCBrowser,ucweb.com,UC Browser,brand
WordPress,wordpress.org,WordPress ,brand
xoBetseyJohnson,betseyjohnson.com,Betsey Johnson,brand
DownDriverFree,setupdriver.com,Webmt SetupDriver,brand
Kohls,kohls.com,"Kohl's",brand
CloudWebStore,cloudwebstore.com,CloudWebStore,brand
submarino,submarino.com.br,Submarino,brand
Motorola,motorola.com,Motorola Mobility,brand
MTNNG,mtnonline.com,MTN Nigeria,brand
Applebees,applebees.com,"Applebee's",brand
proenzaschouler,proenzaschouler.com,Proenza Schouler,brand
Ashoka,ashoka.org,Ashoka,brand
Volkswagen_MX,vw.com.mx,Volkswagen de México,brand
tatadocomo,tatadocomo.com,Tata Docomo,brand
pandora_radio,pandora.com,Pandora,brand
allpeim,ALLPE.com,ALLPE Medio Ambiente,brand
thenutribullet,NutriLiving.com,NutriBullet,brand
ChopDawgStudios,chopdawg.com,Chop Dawg,brand
Farmatodo,farmatodo.com.ve,Farmatodo,brand
surface,surface.com,Surface,brand
TuBoletaNews,tuboleta.com,TUBOLETA.COM,brand
Karmaloop,bit.ly,Karmaloop,brand
coletteparis,colette.fr,colette,brand
HotTopic,hottopic.com,Hot Topic,brand
lifeatgoogle,google.com,Life at Google,brand
PacSun,pacsun.com,PacSun,brand
MountainDew,mountaindew.com,Mountain Dew®,brand
GoogleVentures,gv.com,Google Ventures,brand
indosatmania,indosat.com,Indosat,brand
hmusa,hm.com,H&M USA,brand
CocaColaJapan,cocacola.jp,コカ･コーラ,brand
MercedesAMG,mercedes-amg.com,Mercedes-AMG,brand
BTS_SkyTrain,bts.co.th,BTS SkyTrain,brand
Whataburger,whataburger.com,Whataburger®,brand
MovistarPeru,movistar.com.pe,Movistar Perú,brand
IKEAITALIA,ikea.it,IKEA Italia,brand
CETSP_,cetsp.com.br,CET São Paulo,brand
gramediabooks,gramedia.com,Gramedia Bookstore,brand
Arbys,Arbys.com,"Arby's",brand
BethesdaStudios,bgs.bethsoft.com,BethesdaGameStudios,brand
LevisMX,levi.com.mx,"Levi's® México",brand
Citilink,citilink.co.id,Citilink Indonesia,brand
sberbank,sberbank.ru,Сбербанк России,brand
windowsblog,blogs.windows.com,Windows Blogs,brand
Maybelline,maybelline.com,Maybelline New York,brand
ray_ban,ray-ban.com,Ray-Ban,brand
VoeGOLoficial,,GOL Linhas Aéreas,brand
LexusKSA,lexus.com.sa,Lexus KSA,brand
EpicGames,epicgames.com,Epic Games,brand
HyperX,hyperxgaming.com,HyperX,brand
Flipkart,flipkart.com,Flipkart,brand
Cadillac,cadillac.com,Cadillac,brand
NyxCosmetics,nyxcosmetics.com,NYX Cosmetics,brand
GFuelEnergy,GFUEL.com,G FUEL ®,brand
GM,GM.com,General Motors,brand
gtbank,gtbank.com,Guaranty Trust Bank,brand
JetBlueCheeps,jetblue.com,JetBlue Cheeps,brand
misterdonut_jp,,ミスタードーナツ,brand
googlecalendar,google.com,Google Calendar,brand
easyeastfund,easy-eastfund.com,Easy-East Fund,brand
ATVIAssist,support.activision.com,Activision Support,brand
googlecloud,cloud.google.com,GoogleCloudPlatform,brand
Bergdorfs,brgdf.co,Bergdorf Goodman,brand
glumobile,glu.com,Glu Games,brand
ApoyoVial,infotraffic.com.mx,Infotraffic,brand
lenovo,lenovo.com,Lenovo,brand
MasterCardMEA,mastercard.com,MasterCard MEA,brand
famima_now,family.co.jp,famima_now,brand
marksandspencer,marksandspencer.com,M&S,brand
liverpoolmexico,liverpool.com.mx,Liverpool México,brand
Nissan_mx,nissan.com.mx,Nissan México,brand
Haagen_Dazs_JP,haagen-dazs.co.jp,ハーゲンダッツ,brand
JaguarUSA,jaguarusa.com,Jaguar USA,brand
PersonalAr,personal.com.ar,Personal Argentina,brand
NASDAQ,business.nasdaq.com,Nasdaq,brand
